,hip_name,sy_pnum,st_spectype
260,104903,1,G6 V
261,105056,2,K0 III-IV
262,105232,1,G8 V
263,1931,1,G2/G3 IV/V
264,106006,3,G5 V
265,107160,1,G5 IV/V
266,108162 A,1,K2.5 V
267,15526,5,K0 V
268,107985,2,G5 V
269,107038,1,K0 V
270,15510,4,G8
271,108375,1,G2 V
272,108296,1,M1 III
273,15578,1,K3/4 IV
274,108513,1,K0
275,108859,1,G0 V
276,109381,1,G3 V
277,109378,1,G0 V
278,109577,1,K1 IV
279,109876,1,F7 V
280,110094,1,G5
281,110443,1,K7 V
282,111143,1,G0/1 V
283,111553,2,G
284,16012,1,G8 V
285,111928,1,G0 V
286,112190,4,K3 V
287,112441,2,K3 V
288,113137,1,G1 V
289,16085,2,G8 V
290,113421,2,G8 IV
291,113834,2,F8 V
292,114699,1,G8 V
293,114622,6,K3 V
294,115100,2,G0 IV
295,115218,1,M2 III
296,115662,1,G3 V
297,115697,1,F9
298,115714,1,F8
299,116250,1,G2 V
300,116221,1,G8 IV
301,116630,1,K0 III
302,116616,1,G2 V
303,118228,1,F8/G0 IV/V
304,118319,1,G2 V
305,17187,1,K1
306,17054,1,G2 V
307,96078,1,F8 V
308,17264,5,K4 V
309,98668,1,K2 V
310,17747,1,F8 V
311,59514,1,M0.0 V
312,114840,1,K2 III
313,18451,1,K0
314,17515,1,G0 V
315,18527,1,K1 V
316,18387,1,F8 V
317,19011,1,K1 III
318,31635,2,M0 V
319,2350,1,K1 V
320,19849,1,K0 V
321,20199,1,G3 IV/V
322,20277,3,K2 V
323,20753,1,G0 V
324,20723,2,G0 V
325,20606,1,G1 IV/V
326,19207,1,K4.5 V
327,21932,1,M2 V
328,21571,1,G5
329,25191,1,G8 V
330,2611,1,K0 III
331,22336,1,G2 IV
332,22320,1,G9 V
333,22905,3,G2 V
334,2736,4,K0 V
335,24003,1,K1 III
336,23884,1,G5 IV
337,77517,1,K1
338,23844,3,K0 III
339,23889,1,G3/G5 V
340,25110,1,F6 V
341,24275,2,K0 III
342,24681,6,G0 V
343,25883,1,G0
344,26638,1,M0 III
345,3093,1,K0 V
346,26381,3,G4 V
347,26664,2,K0
348,27253,2,G4 IV
349,27384,1,K0
350,26394,3,G0 V
351,27080,3,K0 V
352,27922 A,1,G8 V
353,27887,5,K2.5 V
354,28767,1,F8 V
355,28393 B,2,M2 V
356,3391,1,G5
357,29242,1,K0
358,29432,1,G4 V
359,29550,2,G8 V
360,30057,1,G0
361,30114,1,G3 V
362,30503,2,G1.5 V
363,30860,1,G5 V
364,30579,2,K0 V
365,30905,1,G8-K0
366,31246,1,K1 IV-V
367,3834,2,K0 IV
368,31674,2,K1 III
369,31688,1,K1 III
370,31895,1,G5 IV/V
371,32916,1,G5 V
372,32970,2,G1 V
373,33212,1,F8 V
374,33229,2,G7 V
375,3911,2,F V
376,4297,2,G5 IV
377,34801,1,G0 V
378,4552,1,K0 IV
379,801,1,G2/G3 V
380,36616,1,K2 III
381,37196,1,K0 III
382,36795,2,F6 IV
383,36941,2,F7 V
384,38228,3,G5 V
385,37284,1,K4 V
386,38041,1,G9 V
387,38392,1,G7 V
388,38558,2,G5 V
389,39311,1,K2 III
390,39767,2,F8 V
391,39589,1,G5 IV/V
392,5447,1,M0 III
393,40687,2,G2 V
394,40344,1,K 1III
395,40952,1,G5
396,42030,2,G0 V
397,42098,1,G5 V
398,42214,1,G8 IV
399,42202,2,G5 V
400,42446,1,G5 IV
401,42401,2,K4 V
402,42723,2,G0
403,42532,2,G5 V
404,43177,1,G0
405,43297,1,G5 V
406,43569,2,G5
407,43674,1,G0
408,43803,1,K1 III
409,44746,1,F5
410,6379,3,K0 V
411,45406,1,G5
412,45982,1,G5
413,46022,1,G5
414,46076,1,G2/G3
415,46471,1,K0 III-IV
416,47193,2,K3 III
417,6390,1,K2 V
418,47202,2,K0 V
419,6511,1,G0 V
420,48331,1,K5 V
421,6643,1,F8
422,48711,1,F8
423,48739,2,G1 V
424,48780,1,F7 V
425,49129,1,K1 III
426,49522 A,1,G
427,49699,1,K0
428,49813,1,G5
429,50316,1,G2 V
430,50473,1,G0 V
431,50786,1,F7 V
432,50653,1,F7 V
433,6993,1,G8 IV
434,52409,2,G6 V
435,52521,1,K3 V
436,7245,2,G5 V
437,53437,1,G3/G5 V
438,53524,1,A8 III
439,53733,1,K0
440,53719,1,K0.5 V
441,54203,1,G0
442,54232,1,K2 III
443,54195,1,G5
444,54400,3,G0 V
445,54413,1,Be9.5/AO
446,54906,1,K1
447,55409,1,G4 V
448,55848,2,K2 V
449,105854,1,K2 III
450,107772,1,M0 V
451,107773,1,K1 III
452,109384,1,G5
453,109600,1,G5
454,114933,1,K0 III
455,116454,1,K1
456,14810,3,G5 V
457,21152,1,F5 V
458,34222,1,K7 V
459,35173,1,K2 V
460,38594,2,M0
461,48714,1,M0.5 Ve
462,54373,2,K5 V
463,54597,1,K5 V
464,56640,1,K1 III
465,57274,3,K4 V
466,5763,1,K6 V
467,63242,1,G8
468,65 A,1,K4 V
469,65407,2,K0
470,65426,1,A2 V
471,65891,1,K0 III
472,67537,1,K1 III
473,67851,2,K0 III
474,70849,1,K7 V
475,71135,1,M1
476,74890,1,K1 III
477,75092,1,K0 III
478,78530,1,B9 V
479,79431,1,M3 V
480,81208 C,1,M
481,8541,2,K2 III/IV
482,86221,1,K5 V
483,90988,1,K1 III
484,91258,1,G5 V
485,94235,1,G V
486,97166,2,K0 V
487,97233,1,K0
488,99770,1,A5-A6
489,71253,1,M4.0 V
490,107350,1,G0 V
491,32775,1,F5 V
492,67246,1,G0 V
493,114189,4,A5 V
494,96618,1,A2
495,52796,1,F7
496,51260 A,1,F
497,24323,1,F
498,101252,1,B9.5-A0
499,94112,1,F6 IV
500,94931,5,K
501,115211,1,M1 V
502,28754,1,M1
503,14101,2,M3.0
504,117883,1,G7 V
505,104513,1,A8
506,25793,1,A8Ve
507,92680,1,G9 IV
508,70890,1,M5.5 V
509,57548,1,M4
510,62908,1,G0
511,70705,1,G9 V
512,57099,1,M0.5+/-0.5 V
513,738,1,M0 V
514,27515,1,F6 V
515,74981,1,K V
516,10117,1,K0 V
